Frequency,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
73205.1,552.70875,0.371204527,65.08158986,0.043709423,1703.470938,1.144067509,904.1166964,1.04234375,0.54234375,-195.24375,0.334634329,0.187831933
82355.74,489.6209375,0.328834143,70.80555414,0.047553693,1731.041875,1.162584417,967.4535839,1.37171875,0.87171875,-313.81875,0.699504484,0.392635388
92650.21,449.3228125,0.301769534,73.45519415,0.049333217,1752.183125,1.176783084,1007.837605,1.7815625,1.2815625,-461.3625,1.114449425,0.625546072
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
