freqs,AMPL (mV),% Amplitude,STD (mV),% STD(Ampl),RMS Error (mV),% RMS Error,RMS (Computed),PHASE (Rad),SHIFT (Rad), SHIFT (Deg),MAG STD (Rad),% STD
14073.63,1399.536295,0.952745258,10.22352269,0.006959743,242.9104464,0.165363183,55.88677102,0.56,0.06,-21.6,1.55779E-15,1.65723E-15
15832.83,1387.756875,0.944726326,10.91008741,0.007427127,272.2140179,0.185311818,67.60921104,0.55,0.05,-18,2.00288E-15,2.13072E-15
17811.93,1373.901607,0.935294244,11.70953607,0.007971358,304.1991518,0.207085947,81.42475441,0.5609375,0.0609375,-21.9375,0.042842036,0.045576634
20038.43,1355.176339,0.922546872,12.80009505,0.008713765,339.9402679,0.231416991,100.1252189,0.6,0.1,-36,2.44796E-15,2.60421E-15
22543.23,1332.63808,0.907203776,14.0824233,0.00958672,379.190625,0.258136978,122.6530392,0.56,0.06,-21.6,1.55779E-15,1.65723E-15
25361.13,1304.997054,0.888386931,15.66800897,0.010666119,421.7580804,0.287115106,150.3018223,0.63,0.13,-46.8,1.89161E-15,2.01235E-15
28531.27,1270.6875,0.865030435,17.62964411,0.012001518,468.1279911,0.318681784,184.6360945,0.57,0.07,-25.2,3.22686E-15,3.43283E-15
32097.68,1229.883661,0.837252903,19.78050025,0.01346573,518.0362054,0.352657191,225.4657043,0.64,0.14,-50.4,1.11271E-15,1.18373E-15
36109.89,1181.080089,0.804029491,22.3271327,0.01519937,570.6688393,0.388487267,274.3100655,0.72,0.22,-79.2,8.90168E-16,9.46987E-16
40623.63,1123.007589,0.764496183,25.58362469,0.017416252,625.3429018,0.425707062,332.4582394,0.61,0.11,-39.6,4.45084E-16,4.73493E-16
45701.59,1054.405491,0.717794769,28.30776418,0.019270731,681.7683929,0.464119155,401.0747339,0.69,0.19,-68.4,1.55779E-15,1.65723E-15
51414.29,976.7424107,0.664925021,31.0953853,0.021168426,737.7014732,0.502196037,478.748501,0.77,0.27,-97.2,1.66906E-15,1.7756E-15
57841.07,888.495,0.604849907,35.32656808,0.024048837,792.1670536,0.539273906,567.0864014,0.736651786,0.236651786,-85.19464286,0.144854788,0.154100838
65071.2,789.6940179,0.537590367,39.23147028,0.02670713,844.3513839,0.574798796,665.9425728,0.65,0.15,-54,2.78177E-15,2.95933E-15
73205.1,687.1195982,0.46776203,42.59328275,0.02899571,889.464375,0.605509817,768.541589,0.73,0.23,-82.8,1.22398E-15,1.30211E-15
82355.74,590.2832143,0.401839906,46.05413753,0.031351714,924.6217857,0.629443498,865.4230573,0.82,0.32,-115.2,4.2283E-15,4.49819E-15
92650.21,520.2633482,0.354173336,49.16163128,0.033467164,946.4066964,0.644273746,935.5092829,0.93,0.43,-154.8,4.67338E-15,4.97168E-15
117260.42,586.9775446,0.399589546,46.12179822,0.031397774,925.5976786,0.630107845,868.7276503,0.59,0.09,-32.4,2.55923E-15,2.72259E-15
131917.97,750.7087946,0.511050872,40.56588057,0.02761554,862.0659375,0.586858116,704.9393592,0.66,0.16,-57.6,2.6705E-15,2.84096E-15
148407.72,974.1270536,0.663144596,30.81796496,0.02097957,739.8635714,0.503667902,481.3405241,0.74,0.24,-86.4,3.33813E-16,3.5512E-16
166958.69,1218.812679,0.829716245,20.36842527,0.013865965,530.5148214,0.361152106,236.5458922,0.83,0.33,-118.8,2.89304E-15,3.07771E-15
187828.53,1411.24942,0.960719059,9.665433539,0.006579819,211.0803125,0.14369457,44.29789706,0.94,0.44,-158.4,1.66906E-15,1.7756E-15
